....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
1/500 WER: 0.000000% (S/I/D) 0/0/0 | 8 5 3 | 8 5 3 
2/500 WER: 0.000000% (S/I/D) 0/0/0 | 8 11 5 | 8 11 5 
3/500 WER: 0.000000% (S/I/D) 0/0/0 | 3 8 3 | 3 8 3 
4/500 WER: 8.333333% (S/I/D) 1/0/0 | 3 6 10 | 3 6 9 
5/500 WER: 13.333333% (S/I/D) 1/0/0 | 3 7 3 | 3 7 2 
6/500 WER: 27.777778% (S/I/D) 2/0/1 | 1 3 3 5 | 1 1 2 
7/500 WER: 23.809524% (S/I/D) 0/0/0 | 1 10 3 | 1 10 3 
8/500 WER: 20.833333% (S/I/D) 0/0/0 | 1 6 7 | 1 6 7 
9/500 WER: 18.518519% (S/I/D) 0/0/0 | 5 8 8 | 5 8 8 
10/500 WER: 16.666667% (S/I/D) 0/0/0 | 5 10 6 | 5 10 6 
11/500 WER: 15.151515% (S/I/D) 0/0/0 | 5 7 6 | 5 7 6 
12/500 WER: 16.666667% (S/I/D) 1/0/0 | 5 4 10 | 5 4 9 
13/500 WER: 15.384615% (S/I/D) 0/0/0 | 5 2 10 | 5 2 10 
14/500 WER: 16.666667% (S/I/D) 1/0/0 | 10 1 11 | 9 1 11 
15/500 WER: 17.777778% (S/I/D) 1/0/0 | 9 10 6 | 9 9 6 
16/500 WER: 18.750000% (S/I/D) 1/0/0 | 10 8 10 | 10 8 9 
17/500 WER: 17.647059% (S/I/D) 0/0/0 | 10 10 1 | 10 10 1 
18/500 WER: 18.518519% (S/I/D) 1/0/0 | 10 4 10 | 10 4 9 
19/500 WER: 17.543860% (S/I/D) 0/0/0 | 10 2 10 | 10 2 10 
20/500 WER: 16.666667% (S/I/D) 0/0/0 | 6 8 1 | 6 8 1 
21/500 WER: 15.873016% (S/I/D) 0/0/0 | 6 4 1 | 6 4 1 
22/500 WER: 16.666667% (S/I/D) 1/0/0 | 7 8 3 | 7 8 6 
23/500 WER: 15.942029% (S/I/D) 0/0/0 | 7 4 6 | 7 4 6 
24/500 WER: 17.333333% (S/I/D) 0/1/1 | 2 6 1 10 10 5 | 2 6 3 1 10 10 
25/500 WER: 16.049383% (S/I/D) 0/0/0 | 1 3 7 6 5 10 | 1 3 7 6 5 10 
26/500 WER: 15.476190% (S/I/D) 0/0/0 | 4 8 4 | 4 8 4 
27/500 WER: 14.942529% (S/I/D) 0/0/0 | 4 4 3 | 4 4 3 
28/500 WER: 16.304348% (S/I/D) 2/0/0 | 3 3 4 1 10 | 2 3 4 1 9 
29/500 WER: 15.463918% (S/I/D) 0/0/0 | 7 10 5 6 8 | 7 10 5 6 8 
30/500 WER: 15.000000% (S/I/D) 0/0/0 | 11 8 7 | 11 8 7 
31/500 WER: 14.563107% (S/I/D) 0/0/0 | 11 3 5 | 11 3 5 
32/500 WER: 15.094340% (S/I/D) 1/0/0 | 11 10 11 | 11 9 11 
33/500 WER: 14.678899% (S/I/D) 0/0/0 | 11 7 3 | 11 7 3 
34/500 WER: 14.285714% (S/I/D) 0/0/0 | 11 11 1 | 11 11 1 
35/500 WER: 14.782609% (S/I/D) 1/0/0 | 3 1 3 | 2 1 3 
