Num densities: 3080
Num mixtures: 199
1/500 WER: 0.000000% (S/I/D) 0/0/0 | 9 9 6 | 9 9 6 
2/500 WER: 0.000000% (S/I/D) 0/0/0 | 1 10 3 | 1 10 3 
3/500 WER: 0.000000% (S/I/D) 0/0/0 | 10 2 10 | 10 2 10 
4/500 WER: 14.285714% (S/I/D) 0/2/0 | 7 10 5 6 8 7 7 | 7 10 5 6 8 
5/500 WER: 11.764706% (S/I/D) 0/0/0 | 9 9 6 | 9 9 6 
6/500 WER: 10.000000% (S/I/D) 0/0/0 | 1 1 2 | 1 1 2 
7/500 WER: 8.695652% (S/I/D) 0/0/0 | 5 4 9 | 5 4 9 
8/500 WER: 11.538462% (S/I/D) 1/0/0 | 2 5 5 | 2 5 1 
9/500 WER: 10.344828% (S/I/D) 0/0/0 | 3 7 2 | 3 7 2 
10/500 WER: 9.375000% (S/I/D) 0/0/0 | 2 1 3 | 2 1 3 
11/500 WER: 8.108108% (S/I/D) 0/0/0 | 1 6 4 4 5 | 1 6 4 4 5 
12/500 WER: 7.500000% (S/I/D) 0/0/0 | 3 8 3 | 3 8 3 
13/500 WER: 6.976744% (S/I/D) 0/0/0 | 4 8 4 | 4 8 4 
14/500 WER: 6.250000% (S/I/D) 0/0/0 | 2 3 4 1 9 | 2 3 4 1 9 
15/500 WER: 5.882353% (S/I/D) 0/0/0 | 7 8 6 | 7 8 6 
16/500 WER: 5.555556% (S/I/D) 0/0/0 | 9 1 11 | 9 1 11 
17/500 WER: 8.771930% (S/I/D) 1/0/1 | 10 1 | 10 2 10 
18/500 WER: 8.333333% (S/I/D) 0/0/0 | 5 4 9 | 5 4 9 
19/500 WER: 10.144928% (S/I/D) 1/0/1 | 5 1 10 3 4 8 10 7 | 10 4 1 10 3 4 8 10 7 
20/500 WER: 9.722222% (S/I/D) 0/0/0 | 5 4 9 | 5 4 9 
21/500 WER: 10.666667% (S/I/D) 1/0/0 | 2 6 9 | 3 6 9 
22/500 WER: 10.256410% (S/I/D) 0/0/0 | 2 1 3 | 2 1 3 
23/500 WER: 9.876543% (S/I/D) 0/0/0 | 4 4 3 | 4 4 3 
24/500 WER: 9.523810% (S/I/D) 0/0/0 | 6 8 1 | 6 8 1 
