1/500 WER: 0.000000% (S/I/D) 0/0/0 | 9 9 6 | 9 9 6 
2/500 WER: 0.000000% (S/I/D) 0/0/0 | 1 10 3 | 1 10 3 
3/500 WER: 0.000000% (S/I/D) 0/0/0 | 10 2 10 | 10 2 10 
4/500 WER: 21.428571% (S/I/D) 0/3/0 | 7 10 5 6 8 7 7 7 | 7 10 5 6 8 
5/500 WER: 17.647059% (S/I/D) 0/0/0 | 9 9 6 | 9 9 6 
6/500 WER: 15.000000% (S/I/D) 0/0/0 | 1 1 2 | 1 1 2 
7/500 WER: 13.043478% (S/I/D) 0/0/0 | 5 4 9 | 5 4 9 
8/500 WER: 15.384615% (S/I/D) 1/0/0 | 2 5 5 | 2 5 1 
9/500 WER: 13.793103% (S/I/D) 0/0/0 | 3 7 2 | 3 7 2 
10/500 WER: 12.500000% (S/I/D) 0/0/0 | 2 1 3 | 2 1 3 
11/500 WER: 10.810811% (S/I/D) 0/0/0 | 1 6 4 4 5 | 1 6 4 4 5 
12/500 WER: 10.000000% (S/I/D) 0/0/0 | 3 8 3 | 3 8 3 
13/500 WER: 9.302326% (S/I/D) 0/0/0 | 4 8 4 | 4 8 4 
14/500 WER: 10.416667% (S/I/D) 1/0/0 | 3 3 4 1 9 | 2 3 4 1 9 
15/500 WER: 9.803922% (S/I/D) 0/0/0 | 7 8 6 | 7 8 6 
16/500 WER: 9.259259% (S/I/D) 0/0/0 | 9 1 11 | 9 1 11 
17/500 WER: 10.526316% (S/I/D) 1/0/0 | 10 3 10 | 10 2 10 
18/500 WER: 10.000000% (S/I/D) 0/0/0 | 5 4 9 | 5 4 9 
19/500 WER: 8.695652% (S/I/D) 0/0/0 | 10 4 1 10 3 4 8 10 7 | 10 4 1 10 3 4 8 10 7 
20/500 WER: 8.333333% (S/I/D) 0/0/0 | 5 4 9 | 5 4 9 
21/500 WER: 8.000000% (S/I/D) 0/0/0 | 3 6 9 | 3 6 9 
22/500 WER: 7.692308% (S/I/D) 0/0/0 | 2 1 3 | 2 1 3 
23/500 WER: 7.407407% (S/I/D) 0/0/0 | 4 4 3 | 4 4 3 
24/500 WER: 7.142857% (S/I/D) 0/0/0 | 6 8 1 | 6 8 1 
